mode,payload_bytes,enc_ms,dec_ms,throughput_MBps
ecb,1024,0.0011558,0.00123935,844.923
ecb,4096,0.00158448,0.00163574,2465.32
ecb,16384,0.00324094,0.00361594,4821.13
ecb,262144,0.0392755,0.0379301,6365.29
ecb,1048576,0.15549,0.151671,6431.28
ecb,8388608,1.30192,1.32113,6144.75
cbc,1024,0.0018061,0.0013488,540.702
cbc,4096,0.00403696,0.00185689,967.622
cbc,16384,0.0130926,0.00800274,1193.43
cbc,262144,0.196983,0.045413,1269.15
cbc,1048576,0.76391,0.170999,1309.06
cbc,8388608,6.25871,1.46851,1278.22
cfb,1024,0.00191352,0.00145265,510.349
cfb,4096,0.00420667,0.0023734,928.585
cfb,16384,0.0131365,0.00607936,1189.43
cfb,262144,0.192787,0.077812,1296.77
cfb,1048576,0.774061,0.313912,1291.89
cfb,8388608,6.25415,2.61905,1279.15
ofb,1024,0.00187058,0.00190558,522.064
ofb,4096,0.00438394,0.00423274,891.036
ofb,16384,0.0133448,0.0135195,1170.86
ofb,262144,0.192573,0.193749,1298.21
ofb,1048576,0.775657,0.771945,1289.23
ofb,8388608,6.26485,6.276,1276.97
ctr,1024,0.00133666,0.00133517,730.599
ctr,4096,0.00184663,0.00183582,2115.34
ctr,16384,0.00485455,0.00479157,3218.63
ctr,262144,0.0484464,0.0490951,5160.34
ctr,1048576,0.184515,0.169647,5419.6
ctr,8388608,1.36953,1.37819,5841.43
xts,1024,0.00246312,0.00258965,396.474
xts,4096,0.00345041,0.00353362,1132.11
xts,16384,0.00966859,0.0094209,1616.06
xts,262144,0.155641,0.158361,1606.26
xts,1048576,0.653525,0.655409,1530.16
xts,8388608,5.26022,5.2702,1520.85
gcm,1024,0.00184296,0.00297206,529.888
gcm,4096,0.00241377,0.00357415,1618.32
gcm,16384,0.00665339,0.00710093,2348.43
gcm,262144,0.0615036,0.0699013,4064.8
gcm,1048576,0.261205,0.261981,3828.42
gcm,8388608,2.1853,2.25502,3660.82
ccm,1024,0.00239039,0.00356192,408.537
ccm,4096,0.00579148,0.010093,674.482
ccm,16384,0.0154144,0.0165383,1013.66
ccm,262144,0.234234,0.238946,1067.31
ccm,1048576,0.90747,0.909307,1101.96
ccm,8388608,7.32455,7.41208,1092.22
